date,feature1,feature2,target
2025-09-01,70.95054607179023,23.18601058222731,269.04325298570944
2025-09-02,45.75959857594181,17.58570917793302,181.26572797250853
2025-09-03,51.20463568454284,27.64332048025077,245.2369232574449
2025-09-04,43.110275360308464,25.88277920083216,206.2010355449957
2025-09-05,42.15020493255712,27.05819689861096,212.26139740853557
2025-09-06,37.735440641982365,27.324088953653,194.26129096415764
2025-09-07,61.773002218235604,21.597609461373548,243.0087200997056
2025-09-08,58.54866265146806,26.098671899279676,261.0907650874857
2025-09-09,35.48314920027178,25.909222954845095,177.5839372949992
2025-09-10,57.634782384976916,20.025020916220733,219.41945839030518
2025-09-11,63.145657588300764,32.19938466920593,315.07198418360366
2025-09-12,77.67127277698339,35.328089944235515,385.71901408090906
2025-09-13,66.5384607841398,29.260359461247397,287.62725085275565
2025-09-14,56.24813434820487,29.34228853406118,279.25533616726756
2025-09-15,49.22601619262797,30.297275488986,263.14396290457194
2025-09-16,65.20274237473893,32.28268571162918,316.55656119514595
2025-09-17,72.44109599687299,24.20616522420775,279.0931899340049
2025-09-18,67.69284922697332,30.916529441984416,308.30280462542925
2025-09-19,56.986739285899276,28.588671773792395,253.30567756451026
2025-09-20,61.18022053647594,25.238289213597483,263.70975398334156
2025-09-21,38.95677177060513,30.502184491292436,204.8768832841045
2025-09-22,61.75433364049053,26.239264248700447,264.6229436853227
2025-09-23,71.71425790082152,29.55028830779633,321.88427999107154
2025-09-24,54.24006419859273,36.8160664334917,310.3124766849656
2025-09-25,56.460020338414694,42.421099583122356,358.3620860218103
2025-09-26,69.49123045838924,29.293847155328283,307.8331175811156
2025-09-27,54.97551742107668,24.91561241761573,232.31379950324208
2025-09-28,74.53354893378584,39.53381933598198,392.8650296171361
2025-09-29,59.25391342866688,26.287054636519084,250.45151649214995
2025-09-30,67.450331592716,34.60733310732287,336.90361542888576
2025-10-01,50.37179784678464,33.06052492698345,268.08547457713706
2025-10-02,61.237816009411844,33.88887993780252,321.4410303744503
2025-10-03,75.23899464941923,30.992061938976647,329.2804395646032
2025-10-04,39.088442250847066,24.888596084520668,193.2796435937751
2025-10-05,72.14780440253156,36.98226991066832,373.7466424706513
2025-10-06,29.92774867036759,31.41130246035911,203.63753705456602
2025-10-07,53.44216075081243,26.873634318911307,253.16424705608142
2025-10-08,62.57827539237198,33.67438566221385,306.1493274559814
2025-10-09,47.96154322846015,28.090114446945964,229.38106317863338
2025-10-10,58.48864097173219,46.09129660485682,376.7796425233816
2025-10-11,70.16924038686328,35.822035214690985,362.7882241895698
2025-10-12,58.48041738252853,27.001898195029273,260.5988468483991
2025-10-13,31.35653803196064,31.469334534119625,203.95822490180356
2025-10-14,64.64687066728034,28.29096872109349,293.14006935768043
2025-10-15,67.36660400744069,26.648662143616026,286.51106775235604
2025-10-16,56.417175229157884,26.6707195191578,241.94006463557926
2025-10-17,54.7377600720002,30.035141286488972,268.9654825567914
2025-10-18,55.5620885663537,33.45671975321968,295.08563854428485
2025-10-19,35.45496569048732,31.374164122276323,229.5440410918772
2025-10-20,50.29167291420097,29.31411849369462,255.5631115308267
2025-10-21,75.41167246503062,33.38768121353946,358.1668982417487
2025-10-22,67.73595706281736,37.21512901441063,359.7457424321039
2025-10-23,63.349642886745926,27.846212035847053,273.2955729967268
2025-10-24,49.768137157070235,38.932506449379225,296.6309850183193
2025-10-25,51.004700556380364,39.44772439512167,308.0448784286235
